id,team_id,year,xp_md,xp_pct,2pt_md,fg_lng,fg_blk
529,9,1989,34,97.1,0,50,2
530,10,1989,31,96.9,0,55,0
531,12,1989,24,96.0,0,47,1
532,13,1989,38,97.4,0,59,1
533,14,1989,40,100.0,0,49,3
534,15,1989,30,100.0,0,54,0
535,16,1989,35,94.6,0,52,0
536,18,1989,29,96.7,0,46,2
537,19,1989,36,100.0,0,50,0
538,30,1989,40,100.0,0,52,1
539,20,1989,42,100.0,0,52,1
540,22,1989,27,90.0,0,52,1
541,23,1989,34,100.0,0,50,1
542,24,1989,51,100.0,0,48,1
543,11,1989,41,100.0,0,48,0
544,26,1989,44,97.8,0,49,1
545,27,1989,27,100.0,0,50,1
546,28,1989,28,100.0,0,49,0
547,31,1989,35,97.2,0,51,1
548,0,1990,39,100.0,0,56,2
549,1,1990,36,97.3,0,52,1
550,2,1990,41,93.2,0,46,0
551,3,1990,50,96.2,0,48,1
552,4,1990,34,94.4,0,49,2
553,5,1990,24,88.9,0,47,1
554,6,1990,27,100.0,0,54,1
555,7,1990,31,100.0,0,50,2
556,8,1990,34,94.4,0,43,0
557,9,1990,37,97.4,0,48,0
558,10,1990,32,97.0,0,55,0
559,12,1990,26,100.0,0,49,0
560,13,1990,37,100.0,0,53,0
561,14,1990,45,93.8,0,53,0
562,15,1990,40,100.0,0,53,0
563,16,1990,38,97.4,0,49,0
564,18,1990,32,100.0,0,47,0
565,19,1990,46,100.0,0,47,0
566,30,1990,46,93.9,0,49,0
567,20,1990,28,96.6,0,53,0
568,22,1990,19,100.0,0,53,0
569,23,1990,40,95.2,0,50,1
570,24,1990,42,97.7,0,46,2
571,11,1990,41,100.0,0,56,1
572,26,1990,29,100.0,0,52,1
573,27,1990,33,97.1,0,51,0
574,28,1990,32,100.0,0,48,0
575,31,1990,38,100.0,0,48,0
576,0,1991,49,98.0,0,50,3
577,1,1991,32,94.1,0,50,0
578,2,1991,27,100.0,0,53,1
579,3,1991,56,96.6,0,52,1
580,4,1991,31,96.9,0,47,3
581,5,1991,33,97.1,0,55,1
582,6,1991,22,100.0,0,49,1
583,7,1991,19,100.0,0,52,1
584,8,1991,31,100.0,0,54,1
585,9,1991,35,100.0,0,48,0
586,10,1991,14,100.0,0,54,1
587,12,1991,37,100.0,0,54,3
588,13,1991,34,97.1,0,53,0
589,14,1991,27,93.1,0,51,2
590,15,1991,40,97.6,0,50,0
